latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,preliminary_class,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description
9.52154,78.82174,301.36,0.39,0.37,2026-09-18,2025,N20,VIIRS,n,2.0NRT,274.18,0.48,N,11.53056777164606,construction,Uppur Power Plant,tn_central,9.5816578,78.9074198,likely_natural,6.720052498650086,Solandur,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Solandur (6.7 km)
11.18351,79.10081,309.35,0.39,0.36,2026-09-18,2025,N20,VIIRS,n,2.0NRT,286.21,1.06,N,0.5276696910805093,plant,unnamed,tn_central,11.1860116,79.1049206,likely_industrial,0.9834417050041881,Thamaraikulam,village,False,False,industrial_fire,Industrial facility (Industrial facility)
11.26782,80.00361,329.97,0.41,0.37,2026-09-18,2025,N20,VIIRS,n,2.0NRT,291.08,4.98,N,39.73430267581675,industrial,IL&FS Tamil Nadu Thermal Power Station,tn_central,11.5261596,79.7517592,likely_natural,17.766445743680276,Tirumullaivasal,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Tirumullaivasal (17.8 km)
12.18199,79.82413,335.75,0.6,0.53,2026-09-19,731,N20,VIIRS,n,2.0NRT,286.24,6.04,D,16.204044175128853,industrial,unnamed,tn_central,12.305508,79.7450029,likely_natural,2.97823835288607,Murukkeri,village,False,False,agricultural_burn,"Agricultural cropland near Murukkeri (village, 3.0 km)"
12.18393,79.82592,338.86,0.6,0.53,2026-09-19,731,N20,VIIRS,n,2.0NRT,286.16,7.06,D,16.1268171819824,industrial,unnamed,tn_central,12.305508,79.7450029,likely_natural,2.68879649742968,Murukkeri,village,False,False,agricultural_burn,"Agricultural cropland near Murukkeri (village, 2.7 km)"
12.87542,79.88532,295.03,0.47,0.4,2026-09-19,2006,N20,VIIRS,n,2.0NRT,270.94,1.28,N,2.038667091467105,industrial,unnamed,tn_north,12.8924368,79.8783195,likely_natural,1.7224215353059793,Echoor,village,False,True,agricultural_burn,"Agricultural cropland near Echoor (village, 1.7 km)"
8.66998,77.99268,297.68,0.53,0.42,2026-09-19,2008,N20,VIIRS,n,2.0NRT,273.35,0.62,N,18.808570205785184,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,3.2550514552241556,Perungulam,village,False,False,agricultural_burn,"Agricultural cropland near Perungulam (village, 3.3 km)"
9.1461,78.24368,330.47,0.45,0.63,2026-09-20,854,N20,VIIRS,n,2.0NRT,284.85,2.19,D,38.255120197637126,industrial,unnamed,tn_central,9.4896726,78.2255799,likely_natural,2.1391788056602494,Keilavilattikulam,village,False,False,agricultural_burn,"Agricultural cropland near Keilavilattikulam (village, 2.1 km)"
9.14637,78.24123,337.47,0.45,0.63,2026-09-20,854,N20,VIIRS,n,2.0NRT,285.3,3.6,D,38.212113325789296,industrial,unnamed,tn_central,9.4896726,78.2255799,likely_natural,1.9908214463964489,Keilavilattikulam,village,False,False,agricultural_burn,"Agricultural cropland near Keilavilattikulam (village, 2.0 km)"
9.40093,78.90057,332.37,0.5,0.66,2026-09-20,854,N20,VIIRS,n,2.0NRT,280.85,3.1,D,7.863963710703405,industrial,Coromandel Electric Company Ltd,cpcb_verified,9.3639,78.8395,likely_natural,1.3769785863833683,Athiyuthu,village,False,False,agricultural_burn,"Agricultural cropland near Athiyuthu (village, 1.4 km)"
10.91339,77.24493,331.87,0.4,0.6,2026-09-20,854,N20,VIIRS,n,2.0NRT,290.83,1.84,D,36.22963506527356,industrial,Amaravathy Co-Op Sugar Mills (Distillery),cpcb_verified,10.5876,77.2495,likely_natural,2.2698654804926943,Kethanur,village,False,False,agricultural_burn,"Agricultural cropland near Kethanur (village, 2.3 km)"
12.10892,76.93208,331.79,0.4,0.6,2026-09-20,854,N20,VIIRS,n,2.0NRT,284.49,3.04,D,100.97634255309038,industrial,Madras Aluminium Company Ltd (MALCO),cpcb_verified,11.788,77.8004,likely_natural,0.35196922429355576,Hosahalli,village,False,False,agricultural_burn,"Agricultural cropland near Hosahalli (village, 0.4 km)"
12.3654,76.82854,328.11,0.4,0.6,2026-09-20,854,N20,VIIRS,n,2.0NRT,278.75,1.36,D,115.96263034619236,industrial,Sanmar Speciality Chemicals Ltd,cpcb_verified,12.7409,77.8253,likely_natural,1.190735336780459,Kodagalli,village,False,True,agricultural_burn,"Agricultural cropland near Kodagalli (village, 1.2 km)"
