osm_id,name,place_type,latitude,longitude,district
3340280011,Kaggalipura,village,12.2724838,76.8972147,
3340280012,Kanchanahalli,village,12.3148992,76.86587,
3340280013,Ketupura,village,12.2990048,76.8894037,
3340280014,Kuntanahalli,village,12.3165488,76.8988923,
3340280015,Mudukanapura,village,12.2868654,76.9559479,
3340280016,Neragyatanahalli,village,12.2589556,76.9727258,
3340280017,Neragyatanahalli,village,12.2638535,76.9308832,
3340280018,Ukkalagere,village,12.2855572,76.9118291,
3340280019,Ramanathapura Hundi,village,12.2556771,76.8749939,
3341023671,Elappara,town,9.6306232,76.9784714,
3341025995,Kuttikkanam,village,9.5823102,76.970999,
3341346430,Basavanahalli,village,12.3481317,76.8928422,
3341346431,Bidanahalli,village,12.3473318,76.8708166,
3341346432,Chikkamulagudu,village,12.4268094,76.9352936,
3341346433,Doddamulagudu,village,12.4288403,76.9213902,
3341346434,Doranahalli,village,12.3900301,76.9641013,
3341346435,Goravanahalli,village,12.3903806,76.8810176,
3341346436,Hanumanalu,village,12.3672981,76.8688842,
3341346437,Hegguru,village,12.3690502,76.9274941,
3341346438,Kagepura,village,12.4092505,76.955401,
3341346439,Madigahalli,village,12.3571063,76.8466948,
3341346440,Makanahalli,village,12.3470688,76.8526262,
3341346441,Maliyuru,village,12.3396015,76.905647,
3341346442,Maragaudanahalli,village,12.3804882,76.868464,
3341346443,Markalu,village,12.3774027,76.9695044,
3341346444,Nanjapura,village,12.3518967,76.9157826,
3341346445,Ramanduru,village,12.4123968,76.945874,
3341346446,Sihalli,village,12.3866832,76.8542054,
3341346447,Turaganuru,village,12.3850766,76.8988765,
3341346448,Virarajapura,village,12.4152635,76.9375258,
3341346449,Yachenahalli,village,12.3990809,76.8981316,
3341346450,Yadahalli,village,12.3606703,76.8893976,
3342184308,Tirumukku,suburb,8.8621637,76.7069475,
3342695023,Alagudu,village,12.4552293,76.8076943,
3342695024,Allapattana,village,12.4258916,76.746703,
3342695025,Ballekere,village,12.4107876,76.8328877,
3342695026,Bannahalli,village,12.4362802,76.8543747,
3342695027,Bettahalli,village,12.4269802,76.8529365,
3342695028,Chikkaharohalli,village,12.4359902,76.8410016,
3342695029,Chikkapalya,village,12.4117258,76.767814,
3342695030,Doddapalya,village,12.4132692,76.75603,
3342695031,Ganjam,village,12.414365,76.7059545,
3342695032,Garakahalli,village,12.4320101,76.8289688,
3342695033,Gendehosahalli,village,12.3860625,76.8112385,
3342695034,Hangarahalli,village,12.4083085,76.7757083,
3342695035,Hunasanahalli,village,12.3967736,76.8607195,
3342695036,Kodiyala,village,12.4546009,76.8388162,
3342695037,Maralagala,village,12.4126237,76.7388613,
3342695038,Neralekere,village,12.4084889,76.8672115,
3342695039,Tadagavadi,village,12.4415303,76.8295277,
3344198551,Bichanahalli,village,12.6205891,76.7949495,
3344198552,Budanuru,village,12.5481758,76.9597746,
3344198553,Chamalapura,village,12.5969385,76.9249726,
3344198554,Hanakere,village,12.569844,76.9779305,
3344198555,Hanchahalli,village,12.6324713,76.8958378,
3344198556,Hosabudanuru,village,12.5507135,76.9478037,
3344198557,Hunuganahalli,village,12.667014,76.7726375,
3344198558,Kachchigere,village,12.5703074,76.9656165,
3344198559,Madala,village,12.6066885,76.8116057,
3344198560,Mallanayakana Katte,village,12.562535,76.8396375,
3344198561,Maranahalli,village,12.6180529,76.8215047,
3344198562,Muttegere Hatna,village,12.674351,76.7723978,
3344198563,Panakanahalli,village,12.5401772,76.8557047,
3344198564,Saudenahalli,village,12.6229938,76.8108359,
3344198565,Tirumalapura,village,12.6990653,76.8213186,
3344198566,Tumbakere,village,12.5795052,76.9538,
3346323439,Belaturu,village,12.6238774,77.0002389,
3346323440,Byaladakere,village,12.7449611,76.9975074,
3346323441,Chamanahalli,village,12.6108167,77.0404204,
3346323442,Chikkahosagavi,village,12.7406954,76.9342671,
3346323443,Chikkankanahalli,village,12.7217999,77.0250522,
3346323444,Chikkonahalli,village,12.7070591,76.9849064,
3346323445,Dodda Ankanahalli,village,12.7243874,77.0060123,
3346323446,Halehalli,village,12.7602608,76.9781313,
3346323447,Haralakere,village,12.7393169,76.9594739,
3346323448,Hebbaralu,village,12.7397626,77.0103095,
3346323449,Hosakere,village,12.6396527,77.0268077,
3346323450,Kottanahalli,village,12.6265531,77.027613,
3346323451,Machahalli,village,12.6835709,77.0631672,
3346323452,Navile,village,12.7640306,76.9992594,
3346323453,Pannedoddi,village,12.6451631,77.006391,
3346323454,Somanahalli,village,12.7479443,76.9215528,
3346323455,Taggahalli,village,12.7235501,76.9860928,
3346323456,Tubinakere,village,12.6833099,77.0549399,
3347197249,Halasahalli,village,12.9370565,76.202321,
3347429139,Chalamasandra,village,12.766089,77.0813679,
3347429140,Devasandra,village,12.7870107,77.0996771,
3347429141,Elekadakalu,village,12.7822987,77.1142984,
3347429142,Halevuru,village,12.8396244,77.01831,
3347429144,Hittalapura,village,12.7981731,77.083852,
3347429145,Honnamachanahalli,village,12.7891482,77.0490934,
3347429147,Hutagere,village,12.7298834,77.0295661,
3347429148,Kenkere,village,12.8187416,77.0112425,
3347429149,Kundanakuppe,village,12.7470003,77.0405334,
3347429150,Mallanakuppe,village,12.7375323,77.0511683,
3347429151,Nidasale,village,12.7698612,77.0617441,
3347429152,Shivanahalli,village,12.7712617,77.0895769,
3347429153,Ujjani,village,12.7911119,77.0889413,
3351403587,Doddajakkanahalli,village,12.8903709,76.854971,
3351403588,Kodihalli,village,12.8594903,76.827777,
3352043893,Lingarajapuram,suburb,13.0093949,77.6267881,
3352831921,Maniyarampudur,village,11.1906519,78.1287762,
3352831922,M. Rasampalayam,village,11.1742327,78.1217457,
3352831924,Thottipatti,village,11.1939505,78.1191505,
3352831925,Vallipuram,village,11.2069208,78.1264982,
3357397862,Madakkathanam,village,9.921132,76.6812243,
3365274525,Kunta Thimmanahalli,village,13.5557708,76.2674261,
3371320159,Chikkakadnur,village,12.7209826,76.288302,
3380124273,Kanai,village,11.9554035,79.4176559,
3380124274,Mambalapattu,village,11.9569478,79.3735336,
3380757301,Chikkahalli,village,12.2828404,76.729703,
3388810808,Hemmigepura,village,12.8819289,77.4854975,
3390746721,Punalur,town,9.0174612,76.9264764,
3390748246,Parankimammukal,suburb,9.0561,76.8397455,
3391974394,Vadakkenirappu,village,9.7912648,76.5489112,
3397192355,Vaderahalli,village,13.5776195,76.2466846,
3397192372,Madapura,village,13.4923837,76.2037586,
3400302357,Maduka,village,9.8086444,76.5501115,
3400302358,Marangoly,village,9.811604,76.5378195,
3401391999,Bengaluru,city,12.9767936,77.590082,
3402091321,Sleevapuram,village,9.730258,76.538197,
3410982540,Vallikkad,village,9.6811872,76.5667219,
3412340128,Nedumbara,village,9.7564251,76.6041046,
3412647435,Chettukulam,village,9.7966745,76.5909546,
3414555931,Akambadam,village,11.3107996,76.2087274,
3415500140,Sivakasi,city,9.45083,77.7976686,
3421197609,Aralvaimozhi,town,8.2506309,77.5218472,
3421197610,Kayalpattinam,town,8.5635494,78.1277841,
3421197611,Colachel,town,8.1752656,77.2519232,
3421197612,Manur,village,8.8545811,77.6525842,
3421197613,Palayamkottai,suburb,8.7198689,77.7371327,
3421197614,Panagudi,town,8.323179,77.5787258,
3421197615,Tiruchendur,town,8.495568,78.123324,
3433562495,Nehru Nagar,suburb,9.9002317,78.0970059,
3436455643,Kurinjippadi,village,11.5667432,79.5944716,
3448132415,Thangasseri,suburb,8.885431,76.5677913,
3452069348,Mandiram,village,9.3604977,76.7874356,
3452069349,Uthimoodu,village,9.3320453,76.7949585,
3452070802,Mannarkulanji,village,9.3053202,76.8046683,
3452091900,Pathanapuram,town,9.0926952,76.8562962,
3452095964,Pidavoor,village,9.0756528,76.856848,
3457585455,Pudukadai,town,8.2744069,77.1801025,
3457585456,Enayam Puthenthurai,village,8.2233227,77.1845745,
3458771967,Panruti,town,11.7722823,79.5518978,
3461574299,Karinkallummoozhi,suburb,9.4723928,76.8446085,
3461577441,Mukkada,village,9.4629984,76.8006541,
3461579813,Plachery,village,9.4518922,76.7972992,
3461580203,Makkappuzha,village,9.4404645,76.79927,
3461581149,Manthamaruthy,village,9.4221875,76.7971074,
3461586849,Chethomkara,village,9.3944418,76.793591,
3463751111,Sundararajapuram,village,9.432122,77.4976001,
3463753380,Ganapathi Sundara Natchiyarpuram,village,9.4343967,77.5049225,
3463922673,Ezhukone,village,8.980645,76.719235,
3463922674,Irumpanangadu,village,8.9904103,76.718799,
3463958283,Chinnachittuloti,village,9.6311378,77.7665262,
3463982443,T.Kallupatti,village,9.7205512,77.8517326,
3464221908,Peraiyur,town,9.7411576,77.7914939,
3464312769,Halumathighatta,village,12.8484016,76.456015,
3464312770,Manjunathapura,village,12.8527761,76.5111273,
3464312771,Sannenahalli,village,12.8561681,76.5126109,
3464315576,Manchenahalli,village,12.8932843,76.4599642,
3464319771,Bediganahalli,village,12.8980639,76.4471976,
3464321796,Jogipura,village,12.90845,76.4387017,
3464321797,Nandipura,village,12.9188779,76.4353707,
