osm_id,region,type,name,latitude,longitude,sipcot_verified,sipcot_sector,cpcb_verified,cpcb_name,cpcb_sector
125180713,tn_north,industrial,unnamed,13.1589101,80.2269999,False,,False,,
125221016,tn_north,industrial,Basin Bridge MTC Depot,13.1023516,80.2738542,False,,False,,
125234690,tn_north,industrial,unnamed,13.0378337,80.1348934,False,,False,,
125234695,tn_north,industrial,Anna Nagar West Depot,13.093925,80.198087,False,,False,,
125234704,tn_north,industrial,Kelambakkam Bus Station,12.7862465,80.2220073,True,IT,False,,
125234709,tn_north,industrial,unnamed,13.2147136,80.3208341,False,,False,,
125234714,tn_north,industrial,Thiruverkadu Bus Depot,13.0695032,80.12401,False,,False,,
125234717,tn_north,industrial,unnamed,13.139057,80.2821304,False,,False,,
125234725,tn_north,industrial,unnamed,13.1478834,80.3011918,False,,False,,
128920963,tn_north,industrial,unnamed,12.7221342,80.187696,False,,False,,
130109235,tn_north,industrial,unnamed,12.8753369,80.2239992,False,,False,,
131425286,tn_north,industrial,Perungudi Sewage Treatment Plant,12.9572257,80.2339153,False,,False,,
131425306,tn_north,industrial,Nehru Nagar Industrial Estate,12.9745906,80.2472774,False,,False,,
131425310,tn_north,industrial,unnamed,12.9580337,80.2466899,False,,False,,
131963518,tn_north,industrial,unnamed,12.9734603,80.2514107,False,,False,,
131963520,tn_north,industrial,unnamed,12.9647131,80.2488939,False,,False,,
132065409,tn_north,industrial,Dr VSI Estate,12.9790789,80.2509381,False,,False,,
132075318,tn_north,industrial,unnamed,12.9791885,80.2524814,False,,False,,
132190829,tn_north,industrial,unnamed,12.9717435,80.2459542,False,,False,,
132190830,tn_north,industrial,Tirumalai Nagar,12.9722437,80.2440599,False,,False,,
132192515,tn_north,industrial,Dr VSI Estate,12.9819637,80.2509787,False,,False,,
132476828,tn_north,industrial,unnamed,12.8778227,79.7680654,False,,False,,
132476829,tn_north,industrial,unnamed,12.872363,79.7492675,False,,False,,
132481079,tn_north,industrial,unnamed,12.9408056,79.3503659,True,Leather/Chemical,True,Bhavani Distilleries and Chemicals Ltd,Distillery
132510303,tn_north,industrial,TNEB Substation,12.9848424,80.2507803,False,,False,,
132510312,tn_north,industrial,PWD,12.9851599,80.2442316,False,,False,,
133591371,tn_north,industrial,unnamed,13.2417535,80.2943193,False,,False,,
133591372,tn_north,industrial,Vallur Thermal Power Station,13.2369124,80.3067214,False,,False,,
133591375,tn_north,industrial,The Indian Cement Ltd.,13.2349559,80.2837406,False,,False,,
133591383,tn_north,industrial,unnamed,13.2427506,80.2869541,False,,False,,
133593256,tn_north,industrial,unnamed,13.1935679,80.3163191,False,,False,,
133593258,tn_north,industrial,unnamed,13.189868,80.3149293,False,,False,,
133600829,tn_north,industrial,unnamed,13.162675,80.2661763,False,,False,,
133602708,tn_north,industrial,unnamed,13.1837517,80.2764574,False,,False,,
133602710,tn_north,industrial,unnamed,13.1918767,80.2478785,False,,False,,
136720406,tn_north,industrial,unnamed,13.0771393,79.6487439,False,,False,,
138307550,tn_north,industrial,TNEB,13.0998421,80.1819377,False,,False,,
138307551,tn_north,industrial,VSNL,13.1291148,80.16646,False,,False,,
